,cluster_label,longitude,latitude
0,0,-3.008704706187191,53.4375
1,1,-0.16544679931724654,53.624993477193435
2,2,1.3125136038557215,51.9375
3,3,0.1607475771620245,49.468750302130864
4,5,0.4967802605627714,51.4999998712024
5,11,-2.7132092833409716,51.5
6,12,-2.0846460115676737,57.15625
7,13,-1.4395285733330052,50.90624953031533
8,17,0.3383778028016532,51.46875
9,19,-1.1575938271176605,54.593755179388474
10,20,-0.11078619531553045,49.46875
11,28,1.8369577967066917,51.0625
12,46,-1.329350217925473,50.843750221059544
13,49,-1.0950961403543937,50.8125
14,54,-2.960948744912647,59.0
15,55,-1.455163043478261,55.0
16,67,-3.0186251612596653,53.46875
17,68,-5.880470055525482,54.625
18,76,0.41376932502309804,53.59375
19,85,-1.9885222159153972,50.71874910077117
20,89,0.5405168005651148,49.46875
21,94,-1.1597438352412954,54.62501718432867
22,110,-0.19602773835608292,53.625
23,136,-0.2669401904032281,53.75
24,140,1.861844923936963,50.96875
25,150,-5.888487478109397,54.625001173708924
26,160,-1.4004021592355642,50.90625
27,161,-1.393582335069866,50.8750030255066
28,167,-6.19921875,53.34375
29,179,-1.1447347821510867,60.15625107625017
30,194,0.7425473182278678,51.4375
31,197,-6.21875,53.34375
32,199,-4.1875,50.40625
33,248,-1.5286005557374178,50.7496943632803
34,250,-1.1113223969857464,50.781250471473214
35,312,-2.081624810424649,57.125
36,318,-2.1148628633153517,49.187491326654396
37,345,-3.01156324228813,53.40625
38,387,-5.477631026159248,56.406473051971986
39,415,-6.336797239350424,52.25
40,422,-6.1934344951923075,53.34375
41,449,0.25108381891287523,51.46875
42,451,-0.23256329230542452,53.65625
43,571,-5.7968672318892045,54.84375
44,630,1.2519275323275862,51.9375
45,653,-5.826723132573016,57.00021994385722
46,687,-0.24780190734036248,49.28125
47,733,-4.72265625,55.9375
48,763,-4.906228699125671,55.96874510319328
49,839,-3.1355160149903583,58.84491958362134
